행사명,날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
아이유 콘서트,2022-09-17,19:00,21:30,종합운동장역,2호선,신도림,하차,163.0,485.5,566.0,884.5,1070.5,1715.0,2035.5,2165.5,2226.0,2099.5,2364.0,2526.0,2776.0,2340.0,1863.0,1573.0,1645.5,1545.0,1442.5,526.0
아이유 콘서트,2022-09-18,19:00,21:30,종합운동장역,2호선,신도림,하차,141.0,457.5,368.5,670.5,1036.5,1748.5,1516.5,1794.5,1977.0,1932.5,2038.5,2028.0,2214.0,2064.0,1691.5,1400.0,1488.0,1349.5,1204.5,414.5
싸이 흠뻑쇼,2022-07-15,18:42,22:40,종합운동장역,2호선,신도림,하차,180.5,733.5,1636.0,4568.0,2277.5,1830.5,1762.5,1790.5,1968.0,1988.5,2335.5,2869.0,4216.5,7628.0,5079.0,2599.5,2451.5,2417.5,2104.5,1361.5
싸이 흠뻑쇼,2022-07-16,18:42,22:40,종합운동장역,2호선,신도림,하차,179.0,598.0,695.0,1164.0,1460.5,2228.5,2576.5,2917.0,2949.0,2635.5,2776.0,3255.0,3558.5,3033.5,2048.0,1798.0,2009.5,1960.0,1972.0,583.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,종합운동장역,2호선,신도림,하차,126.5,554.0,418.5,739.5,1024.0,1885.0,1782.0,2059.5,2176.5,1931.5,1996.5,2056.5,2219.0,2039.0,1677.5,1548.0,1591.0,1308.0,1144.5,237.0
워터밤 2022,2022-06-24,12:00,22:00,종합운동장역,2호선,신도림,하차,178.5,755.0,1727.0,4764.0,2399.0,1917.5,1930.0,1884.5,2063.0,2033.0,2461.0,2953.0,4427.0,7909.0,5395.5,2649.5,2496.5,2555.5,2454.0,1484.5
워터밤 2022,2022-06-25,12:00,22:00,종합운동장역,2호선,신도림,하차,185.5,768.0,707.5,1297.5,1620.0,2702.0,2868.5,3265.0,3362.5,3056.5,3155.0,3420.5,3827.5,3262.5,2214.0,1907.5,2110.5,2159.0,2187.0,643.5
워터밤 2022,2022-06-26,12:00,22:00,종합운동장역,2호선,신도림,하차,156.0,545.5,493.0,826.5,1125.5,2104.5,2119.0,2263.5,2329.0,2126.0,2288.0,2269.0,2309.5,2189.5,1668.5,1600.5,1510.5,1430.5,1230.5,267.0
bts 콘서트 2019,2019-10-26,18:30,,종합운동장역,2호선,신도림,하차,259.0,1010.0,990.0,1956.5,2222.0,3615.0,4457.5,4672.5,5044.0,4491.0,4523.0,5353.0,5144.0,4660.0,3411.0,2776.5,2757.5,2942.0,2881.5,741.0
bts 콘서트 2019,2019-10-27,18:30,,종합운동장역,2호선,신도림,하차,207.5,875.5,677.5,1099.5,1699.5,3231.0,3010.5,3317.5,3571.0,3378.0,2965.5,3008.0,3172.0,3054.0,2409.0,2041.0,2087.5,1866.0,1541.0,293.0
