행사명,행사 일주일 후 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
아이유 콘서트,2022-09-24,19:00,21:30,종합운동장역,2호선,신도림,하차,236,724,778,1280,1672,2872,3324,3473,3542,3250,3657,3792,4278,3416,2705,2235,2260,2250,2137,739.0
아이유 콘서트,2022-09-25,19:00,21:30,종합운동장역,2호선,신도림,하차,174,655,495,919,1445,2402,2030,2364,2575,2482,2539,2308,2455,2233,1973,1629,1714,1424,1237,281.0
싸이 흠뻑쇼,2022-07-22,18:42,22:40,종합운동장역,2호선,신도림,하차,179,730,1598,4505,2310,1821,1810,1815,2024,2003,2404,2768,4106,7379,4952,2588,2418,2309,2088,1234.0
싸이 흠뻑쇼,2022-07-23,18:42,22:40,종합운동장역,2호선,신도림,하차,175,578,676,1137,1446,2146,2399,2859,2846,2470,2656,3244,3513,2883,1887,1689,1901,1734,1829,461.0
싸이 흠뻑쇼,2022-07-24,18:42,22:40,종합운동장역,2호선,신도림,하차,111,535,387,721,1027,1813,1668,1884,1969,1914,1911,1964,2121,1954,1601,1447,1519,1278,1173,187.0
워터밤 2022,2022-07-01,12:00,22:00,종합운동장역,2호선,신도림,하차,173,752,1711,4776,2324,1855,1874,1782,2034,1956,2392,2962,4294,7710,5493,2697,2500,2631,2151,1537.0
워터밤 2022,2022-07-02,12:00,22:00,종합운동장역,2호선,신도림,하차,187,727,657,1150,1626,2441,2537,3042,3184,2963,3039,3123,3942,3343,2202,1781,2093,2160,2181,579.0
워터밤 2022,2022-07-03,12:00,22:00,종합운동장역,2호선,신도림,하차,148,427,486,879,1156,1928,2087,2131,2282,2046,2241,2296,2401,2178,1594,1626,1513,1483,1209,256.0
bts 콘서트 2019,2019-11-02,18:30,,종합운동장역,2호선,신도림,하차,262,1016,944,1789,2207,3687,4417,4610,4981,4648,4596,5252,5011,4511,3297,2681,2712,2790,2868,731.0
bts 콘서트 2019,2019-11-03,18:30,,종합운동장역,2호선,신도림,하차,213,770,699,1047,1458,3116,2901,3048,3435,3364,2959,2961,3235,3089,2384,1993,2097,1915,1539,301.0
