행사명,날짜,시작 시간,끝나는 시간,호선,역명,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
아이유 콘서트,2022-09-17,19:00,21:30,2호선,신도림,하차,184,616,721,1202,1626,2645,3006,3188,3559,3139,3271,3634,3920,3223,2491,2008,2275,2122,2512,720.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,신도림,하차,173,562,464,831,1362,2307,2122,2358,2543,2366,2255,2360,2200,2279,1858,1485,1592,1454,1481,263.0
싸이 흠뻑쇼,2022-07-15,18:42,22:40,2호선,신도림,하차,199,774,1670,4673,2344,1933,1789,1793,1963,2072,2428,2867,4309,7488,5180,2566,2604,2334,2420,1576.0
싸이 흠뻑쇼,2022-07-16,18:42,22:40,2호선,신도림,하차,157,616,707,1134,1576,2299,2458,2552,2855,2501,2701,3425,3466,3083,2120,1863,1997,2028,2499,618.0
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,신도림,하차,126,501,446,732,1009,1807,1825,1887,2144,1882,2015,2104,2189,2266,1634,1562,1507,1408,1361,319.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,신도림,하차,159,738,1719,4556,2243,1821,1797,1877,1953,1886,2595,2964,4304,7445,5352,2682,2441,2379,2851,1543.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,신도림,하차,196,797,778,1260,1631,2778,3171,3286,3446,3290,3085,3441,3655,3150,2244,2025,2208,2189,2290,792.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,신도림,하차,153,602,422,761,1151,2294,2227,2218,2392,1926,2083,2193,2138,1898,1569,1541,1484,1456,1214,267.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,신도림,하차,303,1215,1102,1932,2301,3891,4599,5028,5322,4851,4780,5128,5859,4737,3393,2988,3018,2991,2858,1024.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,신도림,하차,359,1014,848,1285,2243,3473,3249,3554,3638,3654,3233,3404,3270,3198,2524,2167,2203,2057,1778,378.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,신도림,하차,215,788,1848,6002,3489,2617,2417,2348,2795,2684,2921,3583,4501,8180,6372,3639,3198,3448,2433,1138.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,신도림,하차,228,789,863,1865,2347,3604,4437,4593,4850,4534,4224,4366,5121,4384,3129,2580,2724,3076,2739,1086.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,신도림,하차,148,769,606,1039,1678,2835,2655,2979,3068,3100,2733,2798,2798,2653,2232,2150,2044,1902,1679,391.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,신도림,하차,251,1001,1003,1744,2320,3646,4287,4598,4708,4568,4410,4590,4526,4121,3170,2635,2645,2797,2960,878.0
월드 디제이 페스티벌,2018-05-26,14:00,22:00,2호선,신도림,하차,264,964,903,1823,2387,3618,4305,4843,5410,4552,4664,4993,5095,4884,3395,2976,2964,3132,3152,970.0
월드 디제이 페스티벌,2018-05-27,14:00,22:00,2호선,신도림,하차,226,930,688,1162,1700,3217,3262,3729,3569,2753,2964,3019,3636,3158,2450,2194,2284,2126,1996,402.0
아이유 콘서트,2022-09-17,19:00,21:30,2호선,영등포구청,하차,101,390,400,587,701,1013,970,1154,994,1136,1045,1222,1290,1039,712,581,599,527,506,41.0
아이유 콘서트,2022-09-18,19:00,21:30,2호선,영등포구청,하차,67,279,199,400,409,744,815,843,841,696,690,637,723,593,458,426,479,394,306,14.0
