행사명,행사 일주일 전 날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
대한민국 vs 이란,2022-03-17,20:00,21:50,월드컵 경기장역,6호선,신내,하차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대한민국 vs 카메룬,2022-09-20,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,38,95,195,490,370,193,357,238,271,246,280,440,583,1087,928,374,406,351,257,115.0
토트넘 vs 팀k리그,2022-07-06,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,33,95,128,326,239,147,196,192,221,214,259,382,472,970,818,414,396,321,339,107.0
대한민국 vs 이집트,2022-06-07,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,33,114,201,381,337,214,362,267,243,289,321,389,492,1090,885,384,393,337,251,88.0
대한민국 vs 브라질,2022-05-26,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,39,100,178,424,351,390,490,277,323,360,375,488,570,978,944,392,448,499,464,
대한민국 vs 이란,2022-03-17,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,28,82,156,320,221,198,256,205,185,228,256,294,500,896,747,295,320,282,283,
유벤투스 vs 팀 k리그,2019-07-19,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,39,139,200,338,291,184,254,204,287,325,330,359,547,936,938,451,415,446,344,212.0
대한민국 vs 콜롬비아,2019-03-19,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,33,141,209,654,416,332,456,263,256,321,319,446,575,944,953,531,482,509,347,157.0
대한민국 vs 우루과이,2018-10-05,20:00,21:50,월드컵 경기장역,6호선,태릉입구,하차,30,135,190,518,316,214,287,259,248,252,269,374,464,820,873,540,464,398,395,214.0
대한민국 vs 카메룬,2022-09-20,20:00,21:50,월드컵 경기장역,6호선,석계,하차,76,190,353,769,559,434,545,481,583,517,657,1046,1227,2265,1959,931,808,810,489,152.0
