행사명,날짜,시작 시간,끝나는 시간,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
대한민국 vs 카메룬,2022-09-27,20:00,21:50,6호선,태릉입구,하차,39,107,193,467,375,217,324,262,244,257,258,429,585,1168,855,354,372,359,376,151.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,6호선,태릉입구,하차,32,98,147,330,295,143,178,192,213,205,224,359,452,899,824,327,351,318,338,133.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,6호선,태릉입구,하차,30,112,174,366,271,193,276,261,265,298,298,429,510,976,913,350,398,371,324,90.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,6호선,태릉입구,하차,28,106,165,386,280,218,370,232,287,299,317,405,526,908,918,403,390,404,345,92.0
대한민국 vs 이란,2022-03-24,20:00,21:50,6호선,태릉입구,하차,28,92,144,331,222,158,229,199,212,206,270,339,423,827,806,331,307,352,515,
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,6호선,태릉입구,하차,32,112,145,314,239,158,177,222,248,233,326,305,470,842,831,432,368,457,366,371.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,6호선,태릉입구,하차,27,132,217,661,388,359,433,283,250,317,301,428,522,1013,959,499,462,535,487,195.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,6호선,태릉입구,하차,38,131,184,461,304,208,334,286,256,288,327,441,604,864,986,469,502,497,546,289.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,6호선,석계,하차,85,195,349,709,555,430,521,520,528,533,745,1015,1304,2264,1853,941,805,784,624,166.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,6호선,석계,하차,69,189,354,549,387,286,348,363,422,426,675,948,1206,2139,1791,880,734,737,520,180.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,6호선,석계,하차,73,199,364,568,423,404,450,486,515,541,669,969,1210,2240,1787,830,799,798,583,155.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,6호선,석계,하차,65,204,310,581,454,429,419,496,524,575,721,954,1156,2057,1821,927,808,749,608,75.0
대한민국 vs 이란,2022-03-24,20:00,21:50,6호선,석계,하차,49,178,305,601,413,329,381,422,432,470,549,828,1078,1782,1614,758,692,559,743,
유벤투스 vs 팀 k리그,2019-07-26,20:00,21:50,6호선,석계,하차,83,195,269,530,442,342,340,452,425,506,659,847,1181,1910,2022,1038,927,897,777,378.0
대한민국 vs 콜롬비아,2019-03-26,20:00,21:50,6호선,석계,하차,97,226,396,764,539,498,557,538,659,593,674,996,1228,1969,2261,1254,1131,1147,876,230.0
대한민국 vs 우루과이,2018-10-12,20:00,21:50,6호선,석계,하차,108,257,339,716,480,396,488,499,567,576,730,956,1329,1933,2272,1243,1073,1101,911,341.0
대한민국 vs 카메룬,2022-09-27,20:00,21:50,6호선,보문,하차,29,154,438,947,500,251,250,226,287,202,293,371,530,1061,737,424,352,552,295,114.0
토트넘 vs 팀k리그,2022-07-13,20:00,21:50,6호선,보문,하차,33,132,385,812,410,213,189,217,270,201,311,324,546,852,800,454,374,417,300,94.0
대한민국 vs 이집트,2022-06-14,20:00,21:50,6호선,보문,하차,31,135,453,835,443,238,215,222,257,253,309,367,510,881,772,421,328,439,341,106.0
대한민국 vs 브라질,2022-06-02,20:00,21:50,6호선,보문,하차,41,161,384,765,388,239,211,201,258,232,298,337,514,858,675,431,356,469,302,0.0
대한민국 vs 이란,2022-03-24,20:00,21:50,6호선,보문,하차,37,112,377,735,384,208,188,189,238,183,248,283,433,792,605,341,294,334,409,
