환승역,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
공덕,638.0,3087.0,13294.0,37259.0,16810.0,7005.0,5326.0,5416.0,5690.0,5273.0,5581.0,6148.0,8537.0,13318.0,9263.0,4712.0,4286.0,6533.0,4541.0,1473.0
디지털미디어시티,797.0,3502.0,10378.0,28306.0,10622.0,3846.0,3259.0,3771.0,3744.0,3641.0,4459.0,6356.0,8784.0,13829.0,12011.0,6340.0,5786.0,6973.0,4080.0,1324.0
보문,273.0,1025.0,3110.0,6742.0,3494.0,1990.0,1756.0,1791.0,2212.0,1991.0,2437.0,2866.0,4076.0,6906.0,5901.0,3468.0,2996.0,3746.0,2882.0,829.0
불광,147.0,709.0,1383.0,2494.0,2204.0,1500.0,1606.0,1721.0,1952.0,1840.0,1979.0,2314.0,2949.0,4532.0,4114.0,2199.0,1597.0,2296.0,1512.0,482.0
삼각지,240.0,2019.0,5120.0,9624.0,3718.0,2200.0,1873.0,1917.0,2063.0,1759.0,1810.0,1989.0,2822.0,4310.0,2768.0,1759.0,1682.0,3329.0,2171.0,525.0
석계,629.0,1643.0,2686.0,5018.0,3693.0,3114.0,3504.0,3776.0,4072.0,4220.0,5422.0,7513.0,9692.0,16294.0,15421.0,7871.0,6969.0,6772.0,5642.0,1525.0
신당,384.0,2205.0,5617.0,14294.0,7910.0,4510.0,3068.0,2381.0,2735.0,2319.0,2396.0,2745.0,3514.0,5632.0,6716.0,3214.0,2210.0,2541.0,3398.0,757.0
약수,86.0,581.0,1926.0,6233.0,2917.0,1614.0,1311.0,1253.0,1375.0,1369.0,1445.0,1522.0,2004.0,2859.0,1912.0,1001.0,867.0,1121.0,859.0,301.0
연신내,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청구,156.0,821.0,2254.0,8382.0,3824.0,1465.0,1060.0,1070.0,1265.0,1151.0,1387.0,1561.0,1836.0,2444.0,1794.0,1127.0,986.0,990.0,703.0,255.0
태릉입구,254.0,890.0,1369.0,3316.0,2374.0,1654.0,2321.0,1937.0,1975.0,2103.0,2321.0,3135.0,4092.0,7497.0,7092.0,3165.0,3150.0,3293.0,3297.0,1321.0
합정,391.0,2254.0,5727.0,15752.0,9350.0,4728.0,4412.0,4629.0,4844.0,4676.0,5132.0,6345.0,8414.0,22592.0,17082.0,4420.0,3867.0,11844.0,7154.0,1030.0
효창공원앞,174.0,1181.0,2570.0,8944.0,4975.0,2742.0,2445.0,2194.0,2510.0,2374.0,2381.0,2966.0,3767.0,6021.0,4559.0,2583.0,2243.0,2623.0,1912.0,675.0
