06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시 이후
58.5,97.0,143.5,189.0,233.0,313.5,296.0,380.5,374.0,392.5,480.5,3090.5,1133.5,449.5,632.0,3709.0,2143.0,3714.5,278.5,9.0
40.0,82.0,78.5,163.0,217.5,350.0,389.0,464.5,385.0,381.0,431.5,793.0,6362.0,821.5,1142.0,498.0,1097.5,3705.5,215.0,8.0
72.0,205.0,678.0,963.5,609.0,391.5,374.0,353.5,323.0,398.5,541.5,620.5,701.5,739.0,397.5,513.0,1343.0,3327.5,214.0,32.0
50.0,105.5,159.5,272.5,323.0,334.5,351.0,408.0,395.0,451.0,435.0,497.0,1357.0,1248.0,464.0,412.5,936.5,3269.0,191.0,4.5
45.0,71.5,87.0,186.5,213.0,322.5,339.5,449.5,419.0,392.0,345.0,387.0,318.5,300.5,524.5,3766.5,524.0,201.0,50.5,5.0
59.5,230.5,718.5,929.0,610.0,502.0,418.0,376.0,325.0,370.5,477.5,590.5,770.5,1027.5,484.0,421.0,1680.0,2688.5,186.0,45.5
63.5,109.0,154.0,283.5,339.5,374.0,470.0,587.5,631.5,679.5,725.0,1043.0,913.5,660.0,1383.5,3567.0,5081.5,10954.5,667.0,3.0
50.5,91.5,99.5,181.5,242.0,326.5,398.5,553.5,579.0,516.5,511.5,491.5,533.5,516.5,1264.5,3140.0,4985.0,5506.5,251.5,11.0
65.5,178.5,218.5,421.0,473.0,576.0,651.5,665.0,595.0,858.5,768.5,1263.0,1092.0,840.0,1087.0,629.5,423.0,216.0,84.5,6.0
58.5,135.5,225.5,483.0,414.0,656.0,813.5,1142.0,1950.5,1510.0,865.0,662.5,722.0,520.0,670.5,363.0,333.0,175.0,70.0,0.5
79.5,277.5,953.0,1420.0,900.5,505.0,471.0,480.0,568.5,527.5,510.0,887.0,903.5,1068.0,636.0,571.0,960.5,5265.0,749.0,68.5
106.5,188.5,258.0,417.5,582.0,605.0,739.0,763.0,737.5,822.0,742.5,1067.0,969.0,1127.0,825.5,639.0,667.5,3415.5,2716.5,6.5
74.0,132.5,182.5,306.5,405.0,521.0,737.0,679.5,787.0,506.0,615.5,636.0,696.5,528.5,461.0,298.5,249.0,177.5,92.5,6.0
106.0,218.5,314.5,483.0,761.0,793.5,941.5,1279.0,1156.0,823.0,805.5,988.0,1089.0,1017.0,1747.5,7587.5,3027.0,2772.5,199.0,10.0
108.5,222.0,298.5,519.0,625.0,803.5,888.0,993.5,1001.0,945.0,922.0,966.5,1510.0,1007.5,1797.0,6900.5,2791.5,2723.5,206.0,5.5
88.0,128.5,177.5,329.5,460.0,648.0,738.0,803.5,835.0,690.0,818.0,1393.0,4120.0,805.5,1144.5,2204.5,1621.5,418.5,96.0,4.0
85.5,196.0,279.0,472.5,581.5,647.5,814.5,835.5,867.5,767.0,735.5,932.0,1042.5,944.0,1057.0,5447.5,4706.5,3347.5,1966.0,0.5
85.0,173.0,238.5,422.5,594.5,623.0,836.5,1264.0,1442.5,936.0,815.0,763.0,852.0,691.0,634.0,2314.0,4540.0,2270.0,2404.0,12.5
102.0,210.5,290.0,580.0,679.0,665.0,891.5,823.5,1048.5,968.5,1156.0,1070.0,1358.0,962.0,1092.0,7141.0,7204.5,7530.0,236.5,0.5
85.0,123.0,168.5,311.5,472.5,596.0,733.5,766.5,955.0,827.5,915.5,1637.0,4669.5,1000.5,1057.0,2707.5,2078.0,231.5,92.5,0.5
35.0,116.0,406.0,445.5,206.5,187.5,246.0,256.5,232.0,278.5,425.0,547.5,472.0,453.0,237.5,142.5,172.5,120.0,33.5,13.5
36.5,127.5,374.0,445.0,218.5,196.5,245.5,233.0,251.0,292.5,300.5,405.5,464.0,452.5,267.5,228.5,1946.0,485.5,70.5,18.5
39.0,122.5,381.5,424.5,214.0,179.0,246.0,256.0,258.5,295.5,356.0,471.0,440.5,422.5,226.5,191.5,164.0,116.5,30.0,16.5
39.0,121.0,367.0,427.5,210.5,200.0,198.0,271.0,302.0,307.0,363.0,438.0,448.5,414.5,243.0,210.0,242.5,194.0,49.5,7.0
40.0,94.5,290.0,373.0,183.5,145.0,182.0,204.5,240.0,286.5,345.5,461.5,368.5,341.5,199.0,158.5,147.5,90.0,26.0,0.0
52.0,122.0,387.0,501.5,266.0,215.0,244.0,259.5,320.0,309.0,447.0,464.5,588.5,609.5,371.5,343.0,966.0,2773.5,241.0,59.0
45.0,112.5,445.5,533.5,288.5,206.0,243.0,300.0,316.0,363.0,439.5,469.5,504.5,504.5,273.5,203.0,205.0,187.5,46.5,23.0
44.5,117.0,403.0,518.0,304.5,292.0,363.0,674.0,833.5,1141.5,1295.5,1443.5,1387.5,1275.0,791.5,655.5,408.5,251.0,107.0,54.5
37.5,84.0,119.5,170.0,203.0,252.5,361.5,402.0,473.0,532.5,639.5,745.0,798.5,806.0,679.0,1317.5,4467.5,670.0,261.0,0.5
37.5,67.0,79.0,155.0,161.0,176.0,287.0,373.5,535.0,707.0,938.5,1386.5,1874.5,2247.0,2279.0,2791.5,2674.0,2483.5,1060.5,0.0
