행사명,행사날짜,시작 시간,끝나는 시간,호선,가까운 지하철역,인원,승/하차 인원,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시 이후
아이유 콘서트(9.17),2022.9.10,19:00,21:30,2호선,종합운동장역,,승차,66,78,109,87,114,140,151,199,160,178,262,4727,1547,300,151,120,86,96,33,18
아이유 콘서트(9.17),2022.9.24,19:00,21:30,2호선,종합운동장역,,승차,51,116,178,291,352,487,441,562,588,607,699,1454,720,599,1113,7298,4200,7333,524,0
아이유 콘서트(9.18),2022.9.11,19:00,21:30,2호선,종합운동장역,,승차,27,56,68,121,184,319,308,383,319,305,277,802,8816,683,324,130,117,166,42,11
아이유 콘서트(9.18),2022.9.25,19:00,21:30,2호선,종합운동장역,,승차,53,108,89,205,251,381,470,546,451,457,586,784,3908,960,1960,866,2078,7245,388,5
싸이 흠뻑쇼(7.15),2022.7.8,18:42,22:40,2호선,종합운동장역,,승차,73,201,726,995,608,395,370,345,309,332,654,744,790,742,416,496,1898,3247,231,33
싸이 흠뻑쇼(7.15),2022.7.22,18:42,22:40,2호선,종합운동장역,,승차,71,209,630,932,610,388,378,362,337,465,429,497,613,736,379,530,788,3408,197,31
싸이 흠뻑쇼(7.16),202.7.9,18:42,22:40,2호선,종합운동장역,,승차,56,106,168,268,345,382,357,434,434,519,487,606,580,401,528,615,1677,6348,317,2
싸이 흠뻑쇼(7.16),2022.7.23,18:42,22:40,2호선,종합운동장역,,승차,44,105,151,277,301,287,345,382,356,383,383,388,2134,2095,400,210,196,190,65,7
"싸이 흠뻑쇼(7,17)",2022.7.10,18:42,22:40,2호선,종합운동장역,,승차,51,79,79,197,234,355,357,502,455,364,385,378,296,335,681,4376,555,194,56,1
싸이 흠뻑쇼(7.17),2022.7.24,18:42,22:40,2호선,종합운동장역,,승차,39,64,95,176,192,290,322,397,383,420,305,396,341,266,368,3157,493,208,45,9
워터밤 2022(6.24),2022.6.17,12:00,22:00,2호선,종합운동장역,,승차,70,236,704,911,619,401,356,367,332,354,559,648,884,1227,471,376,721,2126,190,42
워터밤 2022(6.24),2022.7.1,12:00,22:00,2호선,종합운동장역,,승차,49,225,733,947,601,603,480,385,318,387,396,533,657,828,497,466,2639,3251,182,49
워터밤 2022,2022.6.18  (28회 드림콘서트),12:00,22:00,2호선,종합운동장역,,승차,63,122,159,289,354,397,470,570,709,752,859,922,947,667,1190,4140,1435,19927,1217,4
