행사명,행사날짜,시작 시간,끝나는 시간,호선,가까운 지하철역,인원,승/하차 인원,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시 이후
아이유 콘서트,2022.9.17,19:00,21:30,2호선,종합운동장역,,승차,48,115,153,297,377,571,993,2118,2326,2320,2180,1936,1597,1306,1635,7835,1391,18898,1425,5
아이유 콘서트,2022.9.17,19:00,21:30,2호선,종합운동장역,,하차,30,458,628,1439,1225,2410,2179,2319,3232,4938,7149,11838,11693,5798,543,528,566,1140,275,26
아이유 콘서트,2022.9.18,19:00,21:30,2호선,종합운동장역,,승차,65,90,106,213,275,499,1206,2428,2372,2010,2196,2210,6549,1564,624,733,829,20302,1215,5
아이유 콘서트,2022.9.18,19:00,21:30,2호선,종합운동장역,,하차,28,331,503,1054,1013,2535,2559,4056,6968,4356,5147,5734,10420,6812,472,430,445,702,207,8
싸이 흠뻑쇼,2022.7.15,18:42,22:40,2호선,종합운동장역,,승차,55,218,681,940,621,577,428,443,489,589,1077,939,961,1039,649,820,1745,12561,5655,155
싸이 흠뻑쇼,2022.7.15,18:42,22:40,2호선,종합운동장역,,하차,33,280,733,1451,696,458,530,691,991,1825,4627,8632,7021,5229,1079,470,422,593,378,117
싸이 흠뻑쇼,2022.7.16,18:42,22:40,2호선,종합운동장역,,승차,71,132,170,278,348,395,483,603,689,697,691,827,1009,421,585,768,3507,18787,9476,5
싸이 흠뻑쇼,2022.7.16,18:42,22:40,2호선,종합운동장역,,하차,28,257,307,429,642,492,546,1040,1716,4001,8192,13521,9449,2975,492,358,432,587,401,13
싸이 흠뻑쇼,2022.7.17,18:42,22:40,2호선,종합운동장역,,승차,55,75,112,178,245,348,465,645,639,684,739,657,467,409,490,2168,1129,7502,7276,2
싸이 흠뻑쇼,2022.7.17,18:42,22:40,2호선,종합운동장역,,하차,29,276,298,300,588,499,479,759,1214,2635,5535,7670,3894,1592,301,335,256,356,259,16
워터밤 2022,2022.6.24,12:00,22:00,2호선,종합운동장역,,승차,78,221,712,915,615,397,409,465,407,481,716,686,796,947,757,1254,2552,12070,2502,60
워터밤 2022,2022.6.24,12:00,22:00,2호선,종합운동장역,,하차,40,264,772,1279,695,765,1153,1751,2306,2919,2758,2278,4830,4972,1158,438,459,647,331,138
워터밤 2022,2022.6.25,12:00,22:00,2호선,종합운동장역,,승차,74,104,222,372,379,421,477,490,508,585,596,562,605,575,973,2199,10910,6908,1723,3
워터밤 2022,2022.6.25,12:00,22:00,2호선,종합운동장역,,하차,27,370,516,592,628,733,1039,1717,2978,3622,5639,9072,2018,722,358,356,522,494,268,8
워터밤 2022,2022.6.26,12:00,22:00,2호선,종합운동장역,,승차,62,70,85,196,219,337,408,572,606,525,415,387,387,646,1373,7664,3465,5315,657,6
워터밤 2022,2022.6.26,12:00,22:00,2호선,종합운동장역,,하차,29,250,260,477,673,899,1029,1686,2570,3306,4266,6110,1370,442,282,323,361,354,174,10
bts 콘서트 2019,2019.10.26,18:30,,2호선,종합운동장역,,승차,70,173,260,485,842,1370,2133,2861,2805,3302,4024,3990,3187,2759,2599,1714,9076,20590,756,15
bts 콘서트 2019,2019.10.26,18:30,,2호선,종합운동장역,,하차,63,1219,2959,3429,3812,4233,4484,5425,6043,6496,7605,10257,7302,1745,1063,1234,1502,1373,377,64
bts 콘서트 2019,2019.10.27,18:30,,2호선,종합운동장역,,승차,55,122,172,452,830,1810,2616,3218,3084,3087,3402,3088,2425,1446,1481,1174,14729,14123,336,4
bts 콘서트 2019,2019.10.27,18:30,,2호선,종합운동장역,,하차,175,879,2878,4136,4598,3804,3999,4712,5041,5476,6568,7569,7476,1517,944,909,1197,906,211,13
